0,1
1,"  (0, 7598)	0.2316014580971133
  (0, 7382)	0.1943164247334276
  (0, 5053)	0.23270741838986023
  (0, 4349)	0.18364943507440537
  (0, 3594)	0.2793980717051524
  (0, 3444)	0.3408028896645573
  (0, 2705)	0.18968614898673922
  (0, 2668)	0.15976969085589737
  (0, 1920)	0.20102717404007533
  (0, 1422)	0.26392837824265813
  (0, 1162)	0.2879116583687978
  (0, 861)	0.2879116583687978
  (0, 859)	0.325333196202063
  (0, 442)	0.25915303403774
  (0, 222)	0.3408028896645573"
1,"  (0, 7500)	0.42306607469124163
  (0, 7060)	0.19524818631028246
  (0, 4672)	0.5357793252523945
  (0, 4641)	0.2686757473865373
  (0, 3627)	0.40022469798684895
  (0, 3414)	0.5132906493475212"
0,"  (0, 7553)	0.20555869142161162
  (0, 7513)	0.15773399704519825
  (0, 7044)	0.13616266766672508
  (0, 6848)	0.23820412405235042
  (0, 6699)	0.12918883192713954
  (0, 6310)	0.16978245491099142
  (0, 5436)	0.18038110556648398
  (0, 5385)	0.25338338579802494
  (0, 5332)	0.25338338579802494
  (0, 4761)	0.25338338579802494
  (0, 2415)	0.12469498047041773
  (0, 2273)	0.1985343626310479
  (0, 2162)	0.5067667715960499
  (0, 2040)	0.3883560358273812
  (0, 1477)	0.21477499267863626
  (0, 1270)	0.21218943626813366
  (0, 302)	0.18212956004789743"
1,"  (0, 7060)	0.33831561037135216
  (0, 5763)	0.5662565933689058
  (0, 3022)	0.49376447796383716
  (0, 1927)	0.35669504323340523
  (0, 1906)	0.32858147896108997
  (0, 902)	0.2930793687089944"
1,"  (0, 7191)	0.4914250938401474
  (0, 6769)	0.3204150476023477
  (0, 4355)	0.4974131737559384
  (0, 3716)	0.3710460252439069
  (0, 2615)	0.4382145482654524
  (0, 1822)	0.2805504693053209"
0,"  (0, 7723)	0.2440916215195118
  (0, 7586)	0.22697037049511506
  (0, 7430)	0.1951182643153214
  (0, 6634)	0.323840561169614
  (0, 6350)	0.2958387963269093
  (0, 5848)	0.17731682515632338
  (0, 5395)	0.323840561169614
  (0, 4641)	0.1623954130095147
  (0, 3731)	0.16899581540265463
  (0, 3120)	0.24760670776012134
  (0, 2923)	0.19860301033124175
  (0, 2484)	0.2488498214507957
  (0, 2423)	0.2852398028623279
  (0, 1539)	0.30485335113620515
  (0, 1110)	0.3608568808216146"
1,"  (0, 6978)	0.3611711639651495
  (0, 6229)	0.3270672306041744
  (0, 4857)	0.47899400060270564
  (0, 3731)	0.4486431380802716
  (0, 830)	0.3504105021678717
  (0, 150)	0.45725154892633924"
1,"  (0, 7256)	0.2542782920969214
  (0, 5876)	0.20310324434434052
  (0, 5540)	0.22037370615521032
  (0, 5181)	0.2156164182329055
  (0, 4733)	0.24739179556770147
  (0, 4572)	0.2542782920969214
  (0, 4148)	0.2542782920969214
  (0, 4069)	0.5085565841938428
  (0, 2445)	0.1543285163192473
  (0, 1369)	0.22305898897926102
  (0, 924)	0.4835302364167127
  (0, 923)	0.20619194839124563"
0,"  (0, 7523)	0.2686706520461604
  (0, 7227)	0.2763503298649962
  (0, 7223)	0.25503077670551544
  (0, 5835)	0.24620452125121892
  (0, 5594)	0.29382665269271024
  (0, 5437)	0.33728133757114614
  (0, 5213)	0.2050106893481101
  (0, 4425)	0.24365175434019753
  (0, 3554)	0.33728133757114614
  (0, 3036)	0.22369446578906818
  (0, 1489)	0.2181338649958204
  (0, 1224)	0.24490754739366244
  (0, 1168)	0.391076521141041"
0,"  (0, 7148)	0.5108728586183062
  (0, 7060)	0.1116856773052173
  (0, 5346)	0.17695514278492672
  (0, 4237)	0.22163174983386144
  (0, 4203)	0.542263003932872
  (0, 3643)	0.2279430513406588
  (0, 2415)	0.32086778472027544
  (0, 2037)	0.284003805803867
  (0, 1246)	0.2481320373347501
  (0, 946)	0.23432983526755216"
1,"  (0, 7362)	0.2048075747231598
  (0, 6905)	0.26309894339034207
  (0, 6865)	0.21448364709393344
  (0, 6603)	0.2745331756047293
  (0, 6441)	0.2786842852370381
  (0, 6185)	0.2646893461637172
  (0, 3453)	0.2495702284038411
  (0, 3330)	0.2558566329700177
  (0, 3148)	0.17037597229297188
  (0, 2989)	0.2167971992994883
  (0, 2642)	0.2663346011019029
  (0, 1822)	0.19448567351463214
  (0, 1439)	0.4261507033761321
  (0, 272)	0.3543946826635759"
0,"  (0, 7513)	0.21626769471500457
  (0, 7044)	0.1866914349104448
  (0, 7010)	0.3474117295710137
  (0, 5848)	0.17882750683582058
  (0, 5533)	0.19262289885059236
  (0, 5114)	0.25498060466668715
  (0, 4880)	0.3474117295710137
  (0, 3205)	0.2818397121430091
  (0, 2956)	0.3026518642897148
  (0, 1557)	0.16870898263635903
  (0, 1455)	0.3474117295710137
  (0, 1381)	0.2361843781746129
  (0, 1053)	0.2398907672063841
  (0, 1001)	0.2168145778947505
  (0, 302)	0.24971623637819843"
0,"  (0, 7669)	0.33905394580145076
  (0, 7586)	0.223397272926247
  (0, 7571)	0.21324416788300155
  (0, 7430)	0.19204660084512482
  (0, 7170)	0.2173713400109676
  (0, 7044)	0.18220014543516533
  (0, 6636)	0.224870109404534
  (0, 5213)	0.20608813892731256
  (0, 5036)	0.2461946780048607
  (0, 4074)	0.3276151201014959
  (0, 3662)	0.33905394580145076
  (0, 3660)	0.33905394580145076
  (0, 3340)	0.33905394580145076
  (0, 2415)	0.16685515909804186
  (0, 1168)	0.19656592706556822"
1,"  (0, 7586)	0.1956858741207622
  (0, 7577)	0.19505829422920554
  (0, 7575)	0.2386917047691441
  (0, 6824)	0.14724364139095247
  (0, 6716)	0.21797820984959268
  (0, 5810)	0.27285373425317583
  (0, 5606)	0.1789222085498705
  (0, 5247)	0.5034843616214087
  (0, 3330)	0.18679221481417188
  (0, 2898)	0.1944418225315395
  (0, 2694)	0.3111181164397365
  (0, 2481)	0.3111181164397365
  (0, 798)	0.3111181164397365
  (0, 688)	0.27285373425317583"
1,"  (0, 6499)	0.7460674179146982
  (0, 1546)	0.6658704137638907"
0,"  (0, 7725)	0.3576239356684288
  (0, 7724)	0.3576239356684288
  (0, 7366)	0.2974065751623264
  (0, 7186)	0.23387071781375496
  (0, 7044)	0.18345586735162447
  (0, 4097)	0.2022213433223358
  (0, 3751)	0.2858889131689334
  (0, 1430)	0.25813801833797057
  (0, 1188)	0.6149364386083706"
1,"  (0, 7386)	0.5112383766677191
  (0, 4634)	0.4155655420680664
  (0, 3523)	0.7522902381845915"
1,"  (0, 7764)	0.2302060099424168
  (0, 7467)	0.3540911039049433
  (0, 7216)	0.5221052350731212
  (0, 7060)	0.13204067162422845
  (0, 6245)	0.3724179973310577
  (0, 5503)	0.2784279035890459
  (0, 4383)	0.34108796608372044
  (0, 3955)	0.2190632038565983
  (0, 1971)	0.31914316782748386
